,solver,penalty,C value,f1 score,learning time
0,newton-cg,l2,1.00E-05,0.741039366,0 days 00:00:05.339574000
1,newton-cg,l2,0.0001,0.852114956,0 days 00:00:07.594792000
2,newton-cg,l2,0.001,0.892992919,0 days 00:00:13.920699000
3,newton-cg,l2,0.01,0.905756054,0 days 00:00:23.601553000
4,newton-cg,l2,0.1,0.896740738,0 days 00:00:50.530179000
5,newton-cg,l2,1,0.87887316,0 days 00:01:17.522201000
6,newton-cg,l2,10,0.870315879,0 days 00:01:44.633664000
7,newton-cg,l2,100,0.86625147,0 days 00:02:09.459931000
8,newton-cg,l2,1000,0.864221806,0 days 00:02:40.824000000
9,newton-cg,l2,10000,0.862641104,0 days 00:02:56.465124000
10,lbfgs,l2,1.00E-05,0.741039366,0 days 00:00:01.489769000
11,lbfgs,l2,0.0001,0.852076716,0 days 00:00:02.299093000
12,lbfgs,l2,0.001,0.892992443,0 days 00:00:05.392437000
13,lbfgs,l2,0.01,0.905738099,0 days 00:00:07.037190000
14,lbfgs,l2,0.1,0.896592451,0 days 00:00:06.924782000
15,lbfgs,l2,1,0.87653192,0 days 00:00:06.922728000
16,lbfgs,l2,10,0.867340173,0 days 00:00:06.873733000
17,lbfgs,l2,100,0.864162092,0 days 00:00:06.819083000
18,lbfgs,l2,1000,0.862995032,0 days 00:00:06.806884000
19,lbfgs,l2,10000,0.862480521,0 days 00:00:06.686997000
