,solver,penalty,C value,f1 score,learning time
0,newton-cg,l2,1.00E-05,0.765226805,0 days 00:00:06.181625000
1,newton-cg,l2,0.0001,0.859847204,0 days 00:00:13.004000000
2,newton-cg,l2,0.001,0.895279376,0 days 00:00:29.680047000
3,newton-cg,l2,0.01,0.90540183,0 days 00:00:53.015526000
4,newton-cg,l2,0.1,0.896710379,0 days 00:01:20.190816000
5,newton-cg,l2,1,0.876499699,0 days 00:02:33.443093000
6,newton-cg,l2,10,0.866958691,0 days 00:03:39.118695000
7,newton-cg,l2,100,0.862133084,0 days 00:03:47.366601000
8,newton-cg,l2,1000,0.859548604,0 days 00:03:30.367530000
9,newton-cg,l2,10000,0.858260105,0 days 00:02:10.336897000
10,lbfgs,l2,1.00E-05,0.765172208,0 days 00:00:01.675520000
11,lbfgs,l2,0.0001,0.859846471,0 days 00:00:04.579201000
12,lbfgs,l2,0.001,0.895232726,0 days 00:00:07.318750000
13,lbfgs,l2,0.01,0.905326492,0 days 00:00:07.608456000
14,lbfgs,l2,0.1,0.894184567,0 days 00:00:07.473406000
15,lbfgs,l2,1,0.87724926,0 days 00:00:07.294482000
16,lbfgs,l2,10,0.869882186,0 days 00:00:07.263892000
17,lbfgs,l2,100,0.866597909,0 days 00:00:07.496991000
18,lbfgs,l2,1000,0.865582574,0 days 00:00:07.485401000
19,lbfgs,l2,10000,0.866528079,0 days 00:00:07.443723000
