,solver,penalty,C value,f1 score,learning time
0,saga,l1,1e-05,0.020203170417428307,0 days 00:00:00.789850000
1,saga,l1,0.0001,0.020203170417428307,0 days 00:00:02.364256000
2,saga,l1,0.001,0.43827906497801433,0 days 00:00:20.024107000
3,saga,l1,0.01,0.8644956660412241,0 days 00:01:14.280302000
4,saga,l1,0.1,0.8998931578798836,0 days 00:01:22.456671000
5,saga,l1,1.0,0.8897173774079008,0 days 00:01:52.434887000
6,saga,l1,10.0,0.8825032929955412,0 days 00:01:35.592077000
7,saga,l1,100.0,0.8819559325502153,0 days 00:01:27.565507000
8,saga,l1,1000.0,0.881836904459627,0 days 00:01:36.689251000
9,saga,l1,10000.0,0.8818549168065773,0 days 00:01:33.823876000
