,solver,penalty,C value,f1 score,learning time
0,liblinear,l1,1e-05,0.018041213665104854,0 days 00:00:01.616988000
1,liblinear,l1,0.0001,0.018041213665104854,0 days 00:00:01.467144000
2,liblinear,l1,0.001,0.6681209196431954,0 days 00:00:03.763267000
3,liblinear,l1,0.01,0.860819539687834,0 days 00:00:04.976175000
4,liblinear,l1,0.1,0.8978606693608782,0 days 00:00:10.131376000
5,liblinear,l1,1.0,0.8931848953996505,0 days 00:00:36.271168000
6,liblinear,l1,10.0,0.8694093515424287,0 days 00:02:38.030918000
7,liblinear,l1,100.0,0.8594163293426516,0 days 00:05:28.579602000
8,liblinear,l1,1000.0,0.8567339399552305,0 days 00:07:31.240603000
9,liblinear,l1,10000.0,0.8570690456474714,0 days 00:06:47.298694000
10,liblinear,l2,1e-05,0.765238830476948,0 days 00:00:03.676059000
11,liblinear,l2,0.0001,0.8422599683357443,0 days 00:00:06.413597000
12,liblinear,l2,0.001,0.8792314299393802,0 days 00:00:09.032353000
13,liblinear,l2,0.01,0.8952843268185369,0 days 00:00:15.755776000
14,liblinear,l2,0.1,0.8972724024285309,0 days 00:00:25.009484000
15,liblinear,l2,1.0,0.8883435326162763,0 days 00:00:52.438517000
16,liblinear,l2,10.0,0.8723371357375902,0 days 00:01:48.571381000
17,liblinear,l2,100.0,0.859745451668811,0 days 00:02:55.784072000
18,liblinear,l2,1000.0,0.8500015586202379,0 days 00:06:09.418798000
19,liblinear,l2,10000.0,0.8410089415251519,0 days 00:14:36.740289000
